搜索,11.272554872448064
推荐,10.823028694750961
java,10.085670496437172
c,10.826505858244482
erlang,10.83753294727391
go,10.409447136427632
php,10.567455349952007
python,10.715227146128608
ruby,10.904191112036848
swift,10.983681100350314
lua,10.980616154298312
大数据,10.218324439907936
硬件,10.916551650394592
hadoop,11.371583694119419
cocos2d,11.425626019906733
ios,10.044610620283363
android,10.709743038430393
web,10.773913333563523
net,10.889557853264351
cad,15.463221682980144
helpdesk,11.84921511749857

经理,1.427854851850378
研发,1.13585880097025
开发,1.120944195533309
软件,1.2574081567667275
实习生,2.524911194005908
实习,2.295040066192492
互联,2.231331024653284
互联网,2.245701915633961
监控,3.343388896273922
顾问,3.73571519871512
资深,2.022865665703048
初级,3.8564269021171445
中级,3.485583853703355
高级,3.306761103812047
老师,3.745551133473178
专员,2.621827148111814
主管,2.13523347305343
合伙,3.324202135192284
合伙人,3.329042465498642

工程,0.4332765206919025
工程师,2.070038730052112
运营,4.402548003028705
设计,4.801396433191074
产品,4.953622118633453
销售,5.202320263145992
设计师,5.401338253651888
前端,5.487885192972879
测试,5.641100617230675
市场,5.834241181674664
策划,5.891114752804976
助理,5.9449305732653075
总监,5.995999346173534
推广,6.09094050470203
ui,6.177632036605389
数据,6.218324439907936
客服,6.3312911606083055
客户,6.366292956691876
编辑,6.400087779241963
媒体,6.432788354616404
网络,6.464441668912963
前端开发,6.495142313673963
技术,6.553820966434274
文案,6.581916610113615
商务,6.609256445980179
服务,6.661770934003751
项目,6.6870303950080965
运维,6.711671484501092
电话,6.759194361393831
营销,6.782137110990618
平面,6.804573300395161
渠道,6.847967069802762
游戏,6.868978922564671
代表,6.909721902552317
行政,6.929486601168903
移动,6.948880735064426
内容,6.9678943795712
网页,6.986555313973673
app,7.004878483309413
分析,7.040536084153521
招聘,7.057898763907953
架构,7.074968556281085
市场推广,7.091762609922162
bd,7.10826460044487
架构师,7.124502962927035
系统,7.140479149667463
人事,7.1562102588368495
管理,7.171692541330293
活动,7.186943586447345
联网,7.201960516071592
html5,7.21675402987324
项目经理,7.259867135936751
电商,7.273842705436115
网站,7.287623799168925
前台,7.301215428294141
上门,7.3146245877930856
分析师,7.327856094375779
培训,7.340910892443648
视觉,7.35379940514526
程序,7.3665235590432445
业务,7.37908723360836
金融,7.391493445709916
会计,7.4037479693260035
平台,7.415854908446663
交互,7.427817158863179
财务,7.4396372481826205
用户,7.451321421038715
广告,7.462872648987287
拓展,7.474297597329681
支持,7.496744979747648
软件开发,7.507782669686316
品牌,7.518706659248559
程序员,7.529505439000731
客户经理,7.540190535579976
办假,7.550762842117833
拉勾,7.56122230977209
seo,7.571574810651435
hr,7.5818204969244976
微信,7.591963034999726
资源,7.602003936696284
高薪,7.611943657398227
咨询,7.6217863098225855
售前,7.631532487157825
美工,7.641184526671097
市场营销,7.650745020566984
售后,7.660214742811624
找上门,7.669597888994271
全套,7.678891217565439
媒介,7.68809906161591
双休,7.697222954063277
人力,7.706264734698582
后台,7.724112375573399
后端,7.732914542945855
软件测试,7.741641308796753
公关,7.750292667455461
挖掘,7.758869808902183
市场策划,7.76737236678042
人力资源,7.775805224141968
北京,7.784165611322851
投资,7.792456635993037
淘宝,7.800680180207351
算法,7.808836958931922
数据挖掘,7.816928307007071
急聘,7.824953549099669
实施,7.832914549763651
手机,7.840812900216657
it,7.848651310369847
海外,7.864142333053402
出纳,7.871799073409393
汇票,7.879397316703067
承兑,7.886938080826168
承兑汇票,7.894422362145312
诚聘,7.90185564479641
应用,7.909230731277109
视频,7.923818511571167
行业,7.931033647309254
采购,7.93819688290434
应届,7.94530993457022
网络营销,7.952371393460941
数据分析,7.959383706417829
哪里,7.966347577560706
课程,7.973262619830941
法务,7.980130862507022
安全,7.98695261999045
服务器,7.9937270833445195
务器,8.000455865646815
兼职,8.007141647516416
sem,8.013782397483276
理财,8.020383545173239
嵌入,8.026935945407974
五险,8.033445673479848
嵌入式,8.039913526244623
公司,8.046339990237197
中心,8.052725982896101
技术支持,8.059070689352204
客户端,8.065375517524771
数据库,8.071641372948754
据库,8.077867357385207
2016,8.084055203316543
招商,8.0902047524108
市场总监,8.096316663702002
美术,8.102392124257795
上海,8.108430171497835
网店,8.114432971385801
手游,8.120399826896904
一金,8.126330418271115
研究,8.13222614984927
专家,8.138088220037575
行政助理,8.143915485872464
讲师,8.149709064023721
javascript,8.155468902479846
管理员,8.161195842755994
百度,8.166891104897912
中高,8.178184983454212
区域,8.183784078986509
中高级,8.189351859072662
自动,8.194889214297893
社区,8.200396475010225
自动化,8.205872422737409
城市,8.211318584536892
在线,8.216735558595774
执行,8.222123313066593
风控,11.22748206857942
js,8.232812243515442
总经理,8.238114712073072
linux,8.243389055255587
安卓,8.248635210721288
合作,8.253853950863661
天猫,8.259046973962661
画师,8.264214542569105
文员,8.269353785542796
交易,8.274465931590704
底薪,8.279551998136817
3d,8.284613201381585
应届生,8.289648591888952
深圳,8.294658398468403
嫖娼,8.299643922545934
信息,8.30460376999151
dba,8.309539422529863
无线,8.319338267743538
提成,8.33386006726113
制作,8.338654658063856
优化,8.343425497343128
企业,8.348173431020811
u3d,8.352899289011406
事业,8.357602772840467
功能,8.36228542354816
人员,8.36694475307613
商业,8.376200175781428
其它,8.380795774341399
团队,8.389923421027197
急招,8.394457021784245
商家,8.398970044145424
事业部,8.403462236822058
需求,8.407934477568993
敏感,8.412386992441714
支付,8.416819251229725
毕业,8.4212325460304
功能测试,8.430000299963044
服务端,8.434355415564102
电子,8.438692270643816
旅游,8.443009710762094
负责,8.44730976011021
